City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,georgetown,MY,81.95,few clouds,5.4112,100.3354,Cititel Penang
5,san pedro,PH,78.35,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
8,kapaa,US,70.12,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,menongue,AO,73.13,broken clouds,-14.6585,17.691,Ritz Lauca
13,castro,BR,86.99,clear sky,-24.7911,-50.0119,CHACARA BAILLY
18,east london,ZA,76.14,clear sky,-33.0153,27.9116,Tu Casa
23,saint-philippe,RE,81.99,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
25,bowen,AU,70.02,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
26,hithadhoo,MV,82.35,broken clouds,-0.6,73.0833,Scoop Guest House
27,mar del plata,AR,86.02,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
33,bengkulu,ID,76.39,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
35,pitimbu,BR,88.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
36,vao,NC,76.68,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
37,butaritari,KI,81.86,light rain,3.0707,172.7902,Isles Sunset Lodge
39,saint-leu,RE,81.46,light rain,-21.15,55.2833,La Caz Oceane
40,cape town,ZA,78.28,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
42,harper,LR,83.17,clear sky,4.375,-7.7169,Screensaver
45,port blair,IN,73.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
47,arraial do cabo,BR,87.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
56,vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
57,jipijapa,EC,78.3,light rain,-1.3333,-80.5833,Hotel Los Ceibos Jipijapa
71,carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
72,cururupu,BR,85.37,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
77,marsh harbour,BS,71.4,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
83,rikitea,PF,78.33,overcast clouds,-23.1203,-134.9692,People ThankYou
89,bredasdorp,ZA,79.92,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
90,puerto ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
91,pisco,PE,76.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
96,mount isa,AU,74.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
101,maldonado,UY,78.19,overcast clouds,-34.6667,-54.9167,La Cimarrona
103,olinda,BR,85.73,light rain,-8.0089,-34.8553,Hotel Albergue de Olinda
105,nampula,MZ,78.75,light intensity drizzle,-15.1165,39.2666,BUTIK Hotel
108,avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
109,bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
110,atuona,PF,77.94,few clouds,-9.8,-139.0333,Villa Enata
117,alice springs,AU,78.35,few clouds,-23.7,133.8833,Desert Palms Alice Springs
118,la romana,DO,82.13,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
119,tevaitoa,PF,81.46,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
122,hermanus,ZA,75.02,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
126,dutse,NG,77.74,clear sky,11.7594,9.3392,Central Mosque Galamawa
127,port alfred,ZA,76.84,clear sky,-33.5906,26.891,The Halyards Hotel
130,faanui,PF,81.19,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
132,sao filipe,CV,74.52,overcast clouds,14.8961,-24.4956,Hotel Xaguate
139,katobu,ID,76.71,broken clouds,-4.9408,122.5276,La Ode Husein
142,kruisfontein,ZA,81.3,clear sky,-34.0033,24.7314,Oyster Bay House Rental
143,vila velha,BR,85.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
145,palani,IN,75.02,overcast clouds,10.4667,77.5333,Vasavi Cottage
151,emerald,AU,75.34,overcast clouds,-23.5333,148.1667,The Irish Village
154,namibe,AO,76.05,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
159,richards bay,ZA,72.59,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
163,hambantota,LK,75.79,overcast clouds,6.1241,81.1185,Bungalow 63
170,cayenne,GF,80.64,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
173,touros,BR,88.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
177,neuquen,AR,84.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
179,itarema,BR,87.55,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
182,port elizabeth,ZA,70.09,clear sky,-33.918,25.5701,39 On Nile Guest House
185,cockburn town,TC,78.08,clear sky,21.4612,-71.1419,Osprey Beach Hotel
188,caucasia,CO,86.77,overcast clouds,7.9865,-75.1935,Hotel San Rafael
190,sola,VU,83.97,overcast clouds,-13.8833,167.55,Leumerus Bungalows
191,poum,NC,79.27,broken clouds,-20.2333,164.0167,Gîte kajeon
192,makasar,ID,77.05,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
193,biak,ID,77.32,overcast clouds,-0.9131,122.8766,Penginapan Kim
194,sao joao da barra,BR,86.09,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
198,bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
199,chuy,UY,85.26,heavy intensity rain,-33.6971,-53.4616,Nuevo Hotel Plaza
202,portel,BR,86.4,broken clouds,-1.9356,-50.8211,Kitnet do Marcos
205,constitucion,CL,70.16,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
206,hualmay,PE,76.51,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
207,ugoofaaru,MV,82.0,scattered clouds,5.6667,73.0,Ungoofaaru Inn
213,nicoya,CR,89.15,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
216,kavieng,PG,82.24,broken clouds,-2.5744,150.7967,Nusa Island Retreat
217,labuhan,ID,79.12,heavy intensity rain,-6.8844,112.2051,DoubleFAG
219,alyangula,AU,78.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
